x,y,z,step,action
-24.3631128072667,-17.2217485302823,285.34412851043,0.236850432047284,proposed
-24.3631211750158,-17.2217530040426,285.344131667366,0.229660325829755,no_hit
-24.4015618887888,-17.4362415989529,285.416625834898,0.236855070201577,proposed
-24.4015635629985,-17.4362509387436,285.41662899169,0.22966511192373,no_hit
-24.2570442895691,-17.5993450405429,285.489121346712,0.236859707554714,proposed
-24.2570379968902,-17.5993521424986,285.489124503358,0.229669897186783,no_hit
-24.0394707814044,-17.5870041309703,285.561615046294,0.236864344106982,proposed
-24.0394613078752,-17.5870035936256,285.561618202796,0.22967468161915,no_hit
-23.9143129055332,-17.4085987062506,285.634106934067,0.236868979858667,proposed
-23.9143074560549,-17.4085909383296,285.634110090424,0.229679465221222,no_hit
-23.9767573127368,-17.1998018072661,285.706597010455,0.236873614810078,proposed
-23.9767600315617,-17.1997927162644,285.706600166668,0.229684247993264,no_hit
-24.1793231397358,-17.1193966214882,285.779085275881,0.236878248961488,proposed
-24.1793319592535,-17.1193931207252,285.779088431949,0.229689029935569,no_hit
-24.3679766616329,-17.228530555678,285.851571730766,0.236882882313244,proposed
-24.3679848752514,-17.2285353071637,285.85157488669,0.229693811048505,no_hit
-24.3992650419043,-17.4442244650057,285.924056375534,0.23688751486553,proposed
-24.3992664041131,-17.4442338557163,285.924059531313,0.229698591332235,no_hit
-24.2493923304701,-17.6024757006118,285.996539210606,0.23689214661878,proposed
-24.2493858055665,-17.6024825902854,285.996542366241,0.229703370787273,no_hit
-24.0323051518972,-17.5829591014594,286.069020236405,0.236896777573133,proposed
-24.0322957009209,-17.5829582517965,286.069023391895,0.229708149413712,no_hit
-23.913051502254,-17.4005070120572,286.141499453352,0.236901407729042,proposed
-23.9130463106071,-17.4004990690983,286.141502608698,0.229712927212024,no_hit
-23.9822984154047,-17.1938248414801,286.21397686187,0.236906037086654,proposed
-23.9823014299711,-17.1938158438641,286.213980017071,0.229717704182412,no_hit
-24.1874091079181,-17.120036530992,286.286452462379,0.236910665646352,proposed
-24.1874180369364,-17.120033318789,286.286455617436,0.22972248032525,no_hit
-24.3724653560701,-17.2352396207883,286.358926255301,0.236915293408441,proposed
-24.3724734118971,-17.2352446357833,286.358929410213,0.229727255640836,no_hit
-24.3967953649061,-17.4518685040829,286.431398241056,0.236919920373145,proposed
-24.3967964240126,-17.4518779341268,286.431401395825,0.229732030129435,no_hit
-24.2419000166749,-17.605263121429,286.503868420066,0.236924546540792,proposed
-24.2418932740857,-17.6052697986915,286.503871574691,0.229736803791357,no_hit
-24.0255064934132,-17.5788287621564,286.576336792752,0.236929171911658,proposed
-24.0254970740061,-17.5788276114936,286.576339947232,0.229741576626879,no_hit
-23.9120819997593,-17.392650700014,286.648803359533,0.236933796486121,proposed
-23.9120770626001,-17.392642596026,286.648806513869,0.229746348636478,no_hit
-23.9878339759285,-17.1882210578071,286.721268120831,0.236938420264376,proposed
-23.987837273204,-17.1882121595462,286.721271275023,0.22975111982024,no_hit
-24.195199101738,-17.1209009372945,286.793731077064,0.23694304324677,proposed
-24.1952081275851,-17.1208980070953,286.793734231112,0.229755890178627,no_hit
-24.3765965383299,-17.2418543049459,286.866192228654,0.236947665433541,proposed
-24.3766044337342,-17.2418595694952,286.866195382558,0.229760659711825,no_hit
-24.3941804409759,-17.4591743597858,286.93865157602,0.236952286825024,proposed
-24.3941812063072,-17.4591838185419,286.93865472978,0.229765428420233,no_hit
-24.2345837829333,-17.6077292618538,287.011109119581,0.236956907421523,proposed
-24.2345768367058,-17.6077357275039,287.011112273197,0.229770196304158,no_hit
